LAUS_Area_Code,State,County,Area_Title,,Period,Civilian_Labor_Force,Employed,Unemployed_level,Unemployed_rate,early
CN4849500000000,48,495,Winkler County, TX,12/1/2020,3959,3574,385,9.7,1
CN4849700000000,48,497,Wise County, TX,12/1/2020,32819,30961,1858,5.7,1
CN4849900000000,48,499,Wood County, TX,12/1/2020,18175,17069,1106,6.1,1
CN4850100000000,48,501,Yoakum County, TX,12/1/2020,3346,2985,361,10.8,1
CN4850300000000,48,503,Young County, TX,12/1/2020,7818,7420,398,5.1,1
CN4850500000000,48,505,Zapata County, TX,12/1/2020,4332,3700,632,14.6,1
CN4850700000000,48,507,Zavala County, TX,12/1/2020,3498,3001,497,14.2,1
CN4900100000000,49,1,Beaver County, UT,12/1/2020,2782,2696,86,3.1,1
CN4900300000000,49,3,Box Elder County, UT,12/1/2020,26352,25703,649,2.5,1
CN4900500000000,49,5,Cache County, UT,12/1/2020,66203,64859,1344,2,1
CN4900700000000,49,7,Carbon County, UT,12/1/2020,8423,8079,344,4.1,1
CN4900900000000,49,9,Daggett County, UT,12/1/2020,361,341,20,5.5,1
CN4901100000000,49,11,Davis County, UT,12/1/2020,176098,171448,4650,2.6,1
CN4901300000000,49,13,Duchesne County, UT,12/1/2020,7380,6944,436,5.9,1
CN4901500000000,49,15,Emery County, UT,12/1/2020,4305,4141,164,3.8,1
CN4901700000000,49,17,Garfield County, UT,12/1/2020,2247,2005,242,10.8,1
CN4901900000000,49,19,Grand County, UT,12/1/2020,5464,5034,430,7.9,1
CN4902100000000,49,21,Iron County, UT,12/1/2020,25377,24577,800,3.2,1
CN4902300000000,49,23,Juab County, UT,12/1/2020,5959,5840,119,2,1
CN4902500000000,49,25,Kane County, UT,12/1/2020,3501,3362,139,4,1
CN4902700000000,49,27,Millard County, UT,12/1/2020,5802,5660,142,2.4,1
CN4902900000000,49,29,Morgan County, UT,12/1/2020,5588,5457,131,2.3,1
CN4903100000000,49,31,Piute County, UT,12/1/2020,466,439,27,5.8,1
CN4903300000000,49,33,Rich County, UT,12/1/2020,1002,973,29,2.9,1
CN4903500000000,49,35,Salt Lake County, UT,12/1/2020,639334,619320,20014,3.1,1
CN4903700000000,49,37,San Juan County, UT,12/1/2020,5071,4637,434,8.6,1
CN4903900000000,49,39,Sanpete County, UT,12/1/2020,12522,12164,358,2.9,1
CN4904100000000,49,41,Sevier County, UT,12/1/2020,9674,9348,326,3.4,1
CN4904300000000,49,43,Summit County, UT,12/1/2020,24175,23362,813,3.4,1
CN4904500000000,49,45,Tooele County, UT,12/1/2020,35132,34029,1103,3.1,1
CN4904700000000,49,47,Uintah County, UT,12/1/2020,12823,11951,872,6.8,1
CN4904900000000,49,49,Utah County, UT,12/1/2020,316587,308554,8033,2.5,1
CN4905100000000,49,51,Wasatch County, UT,12/1/2020,15926,15400,526,3.3,1
CN4905300000000,49,53,Washington County, UT,12/1/2020,79799,77093,2706,3.4,1
CN4905500000000,49,55,Wayne County, UT,12/1/2020,1287,1203,84,6.5,1
CN4905700000000,49,57,Weber County, UT,12/1/2020,130018,125930,4088,3.1,1
CN5000100000000,50,1,Addison County, VT,12/1/2020,19407,18870,537,2.8,0
CN5000300000000,50,3,Bennington County, VT,12/1/2020,15880,15230,650,4.1,0
CN5000500000000,50,5,Caledonia County, VT,12/1/2020,13551,13094,457,3.4,0
CN5000700000000,50,7,Chittenden County, VT,12/1/2020,88582,86076,2506,2.8,0
CN5000900000000,50,9,Essex County, VT,12/1/2020,2430,2336,94,3.9,0
CN5001100000000,50,11,Franklin County, VT,12/1/2020,24816,23957,859,3.5,0
CN5001300000000,50,13,Grand Isle County, VT,12/1/2020,3793,3656,137,3.6,0
CN5001500000000,50,15,Lamoille County, VT,12/1/2020,12304,11774,530,4.3,0
CN5001700000000,50,17,Orange County, VT,12/1/2020,14670,14240,430,2.9,0
CN5001900000000,50,19,Orleans County, VT,12/1/2020,11964,11408,556,4.6,0
CN5002100000000,50,21,Rutland County, VT,12/1/2020,27784,26708,1076,3.9,0
CN5002300000000,50,23,Washington County, VT,12/1/2020,31387,30482,905,2.9,0
CN5002500000000,50,25,Windham County, VT,12/1/2020,20009,19237,772,3.9,0
CN5002700000000,50,27,Windsor County, VT,12/1/2020,26594,25822,772,2.9,0
CN5100100000000,51,1,Accomack County, VA,12/1/2020,15878,14898,980,6.2,0
CN5100300000000,51,3,Albemarle County, VA,12/1/2020,54163,51515,2648,4.9,0
CN5100500000000,51,5,Alleghany County, VA,12/1/2020,6615,6255,360,5.4,0
CN5100700000000,51,7,Amelia County, VA,12/1/2020,6080,5757,323,5.3,0
CN5100900000000,51,9,Amherst County, VA,12/1/2020,14330,13569,761,5.3,0
CN5101100000000,51,11,Appomattox County, VA,12/1/2020,6931,6511,420,6.1,0
CN5101300000000,51,13,Arlington County, VA,12/1/2020,147651,140753,6898,4.7,0
CN5101500000000,51,15,Augusta County, VA,12/1/2020,36864,35295,1569,4.3,0
CN5101700000000,51,17,Bath County, VA,12/1/2020,2196,2056,140,6.4,0
CN5101900000000,51,19,Bedford County, VA,12/1/2020,36831,34986,1845,5,0
CN5102100000000,51,21,Bland County, VA,12/1/2020,2785,2656,129,4.6,0
CN5102300000000,51,23,Botetourt County, VA,12/1/2020,16832,16137,695,4.1,0
CN5102500000000,51,25,Brunswick County, VA,12/1/2020,5864,5371,493,8.4,0
CN5102700000000,51,27,Buchanan County, VA,12/1/2020,6320,5700,620,9.8,0
CN5102900000000,51,29,Buckingham County, VA,12/1/2020,6208,5732,476,7.7,0
CN5103100000000,51,31,Campbell County, VA,12/1/2020,24841,23437,1404,5.7,0
CN5103300000000,51,33,Caroline County, VA,12/1/2020,14576,13666,910,6.2,0
CN5103500000000,51,35,Carroll County, VA,12/1/2020,12959,12169,790,6.1,0
CN5103600000000,51,36,Charles City County, VA,12/1/2020,3541,3321,220,6.2,0
CN5103700000000,51,37,Charlotte County, VA,12/1/2020,5125,4858,267,5.2,0
CN5104100000000,51,41,Chesterfield County, VA,12/1/2020,180246,170621,9625,5.3,0
CN5104300000000,51,43,Clarke County, VA,12/1/2020,7380,7060,320,4.3,0
CN5104500000000,51,45,Craig County, VA,12/1/2020,2238,2142,96,4.3,0
CN5104700000000,51,47,Culpeper County, VA,12/1/2020,23938,22865,1073,4.5,0
CN5104900000000,51,49,Cumberland County, VA,12/1/2020,4465,4210,255,5.7,0
CN5105100000000,51,51,Dickenson County, VA,12/1/2020,4675,4316,359,7.7,0
CN5105300000000,51,53,Dinwiddie County, VA,12/1/2020,13197,12322,875,6.6,0
CN5105700000000,51,57,Essex County, VA,12/1/2020,5472,5100,372,6.8,0
CN5105900000000,51,59,Fairfax County, VA,12/1/2020,610804,577514,33290,5.5,0
CN5106100000000,51,61,Fauquier County, VA,12/1/2020,36060,34535,1525,4.2,0
CN5106300000000,51,63,Floyd County, VA,12/1/2020,7986,7625,361,4.5,0
CN5106500000000,51,65,Fluvanna County, VA,12/1/2020,13297,12651,646,4.9,0
CN5106700000000,51,67,Franklin County, VA,12/1/2020,25603,24285,1318,5.1,0
CN5106900000000,51,69,Frederick County, VA,12/1/2020,47886,45979,1907,4,0
CN5107100000000,51,71,Giles County, VA,12/1/2020,7528,7149,379,5,0
CN5107300000000,51,73,Gloucester County, VA,12/1/2020,18842,17925,917,4.9,0
CN5107500000000,51,75,Goochland County, VA,12/1/2020,10864,10371,493,4.5,0
CN5107700000000,51,77,Grayson County, VA,12/1/2020,8347,7964,383,4.6,0
CN5107900000000,51,79,Greene County, VA,12/1/2020,9865,9428,437,4.4,0
CN5108100000000,51,81,Greensville County, VA,12/1/2020,4228,3930,298,7,0
CN5108300000000,51,83,Halifax County, VA,12/1/2020,14912,13951,961,6.4,0
CN5108500000000,51,85,Hanover County, VA,12/1/2020,56252,53810,2442,4.3,0
CN5108700000000,51,87,Henrico County, VA,12/1/2020,174446,164189,10257,5.9,0
CN5108900000000,51,89,Henry County, VA,12/1/2020,23820,22261,1559,6.5,0
CN5109100000000,51,91,Highland County, VA,12/1/2020,1315,1263,52,4,0
CN5109300000000,51,93,Isle of Wight County, VA,12/1/2020,18775,17850,925,4.9,0
CN5109500000000,51,95,James City County, VA,12/1/2020,35445,33407,2038,5.7,0
CN5109700000000,51,97,King and Queen County, VA,12/1/2020,3887,3691,196,5,0
CN5109900000000,51,99,King George County, VA,12/1/2020,13666,13076,590,4.3,0
CN5110100000000,51,101,King William County, VA,12/1/2020,8845,8393,452,5.1,0
CN5110300000000,51,103,Lancaster County, VA,12/1/2020,5342,5015,327,6.1,0
CN5110500000000,51,105,Lee County, VA,12/1/2020,8170,7680,490,6,0
CN5110700000000,51,107,Loudoun County, VA,12/1/2020,216648,206280,10368,4.8,0
CN5110900000000,51,109,Louisa County, VA,12/1/2020,19623,18707,916,4.7,0
CN5111100000000,51,111,Lunenburg County, VA,12/1/2020,5279,4982,297,5.6,0
CN5111300000000,51,113,Madison County, VA,12/1/2020,7298,7038,260,3.6,0
CN5111500000000,51,115,Mathews County, VA,12/1/2020,3987,3786,201,5,0
CN5111700000000,51,117,Mecklenburg County, VA,12/1/2020,12696,11893,803,6.3,0
CN5111900000000,51,119,Middlesex County, VA,12/1/2020,5029,4792,237,4.7,0
CN5112100000000,51,121,Montgomery County, VA,12/1/2020,47457,45465,1992,4.2,0
CN5112500000000,51,125,Nelson County, VA,12/1/2020,7142,6785,357,5,0
CN5112700000000,51,127,New Kent County, VA,12/1/2020,12155,11651,504,4.1,0
CN5113100000000,51,131,Northampton County, VA,12/1/2020,5520,5113,407,7.4,0
CN5113300000000,51,133,Northumberland County, VA,12/1/2020,5747,5419,328,5.7,0
CN5113500000000,51,135,Nottoway County, VA,12/1/2020,6996,6615,381,5.4,0
CN5113700000000,51,137,Orange County, VA,12/1/2020,16860,15984,876,5.2,0
CN5113900000000,51,139,Page County, VA,12/1/2020,11856,11057,799,6.7,0
CN5114100000000,51,141,Patrick County, VA,12/1/2020,7113,6698,415,5.8,0
CN5114300000000,51,143,Pittsylvania County, VA,12/1/2020,29939,28284,1655,5.5,0
CN5114500000000,51,145,Powhatan County, VA,12/1/2020,13540,12975,565,4.2,0
CN5114700000000,51,147,Prince Edward County, VA,12/1/2020,9940,9304,636,6.4,0
CN5114900000000,51,149,Prince George County, VA,12/1/2020,14540,13582,958,6.6,0
CN5115300000000,51,153,Prince William County, VA,12/1/2020,238345,224276,14069,5.9,0
CN5115500000000,51,155,Pulaski County, VA,12/1/2020,15513,14544,969,6.2,0
CN5115700000000,51,157,Rappahannock County, VA,12/1/2020,3633,3480,153,4.2,0
CN5115900000000,51,159,Richmond County, VA,12/1/2020,4071,3862,209,5.1,0
CN5116100000000,51,161,Roanoke County, VA,12/1/2020,47633,45451,2182,4.6,0
CN5116300000000,51,163,Rockbridge County, VA,12/1/2020,10408,9814,594,5.7,0
CN5116500000000,51,165,Rockingham County, VA,12/1/2020,41120,39464,1656,4,0
CN5116700000000,51,167,Russell County, VA,12/1/2020,11063,10369,694,6.3,0
CN5116900000000,51,169,Scott County, VA,12/1/2020,8826,8396,430,4.9,0
CN5117100000000,51,171,Shenandoah County, VA,12/1/2020,22042,20976,1066,4.8,0
CN5117300000000,51,173,Smyth County, VA,12/1/2020,13208,12459,749,5.7,0
CN5117500000000,51,175,Southampton County, VA,12/1/2020,9137,8700,437,4.8,0
CN5117700000000,51,177,Spotsylvania County, VA,12/1/2020,65204,61696,3508,5.4,0
CN5117900000000,51,179,Stafford County, VA,12/1/2020,70307,66565,3742,5.3,0
CN5118100000000,51,181,Surry County, VA,12/1/2020,3518,3320,198,5.6,0
CN5118300000000,51,183,Sussex County, VA,12/1/2020,3773,3457,316,8.4,0
CN5118500000000,51,185,Tazewell County, VA,12/1/2020,15470,14361,1109,7.2,0
CN5118700000000,51,187,Warren County, VA,12/1/2020,19696,18659,1037,5.3,0
CN5119100000000,51,191,Washington County, VA,12/1/2020,25435,24162,1273,5,0
CN5119300000000,51,193,Westmoreland County, VA,12/1/2020,9476,8892,584,6.2,0
CN5119500000000,51,195,Wise County, VA,12/1/2020,12770,11805,965,7.6,0
CN5119700000000,51,197,Wythe County, VA,12/1/2020,13687,12873,814,5.9,0
CN5119900000000,51,199,York County, VA,12/1/2020,31488,29989,1499,4.8,0
CN5151000000000,51,510,Alexandria city, VA,12/1/2020,97608,91850,5758,5.9,0
CN5152000000000,51,520,Bristol city, VA,12/1/2020,7145,6650,495,6.9,0
CN5153000000000,51,530,Buena Vista city, VA,12/1/2020,3114,2946,168,5.4,0
CN5154000000000,51,540,Charlottesville city, VA,12/1/2020,24452,23120,1332,5.4,0
CN5155000000000,51,550,Chesapeake city, VA,12/1/2020,119079,112346,6733,5.7,0
CN5157000000000,51,570,Colonial Heights city, VA,12/1/2020,8238,7673,565,6.9,0
CN5158000000000,51,580,Covington city, VA,12/1/2020,2321,2139,182,7.8,0
CN5159000000000,51,590,Danville city, VA,12/1/2020,19261,17568,1693,8.8,0
CN5159500000000,51,595,Emporia city, VA,12/1/2020,2349,2099,250,10.6,0
CN5160000000000,51,600,Fairfax city, VA,12/1/2020,12630,12004,626,5,0
CN5161000000000,51,610,Falls Church city, VA,12/1/2020,8096,7774,322,4,0
CN5162000000000,51,620,Franklin city, VA,12/1/2020,3659,3321,338,9.2,0
CN5163000000000,51,630,Fredericksburg city, VA,12/1/2020,13584,12687,897,6.6,0
CN5164000000000,51,640,Galax city, VA,12/1/2020,2825,2668,157,5.6,0
CN5165000000000,51,650,Hampton city, VA,12/1/2020,62978,57929,5049,8,0
CN5166000000000,51,660,Harrisonburg city, VA,12/1/2020,23757,22466,1291,5.4,0
CN5167000000000,51,670,Hopewell city, VA,12/1/2020,9565,8528,1037,10.8,0
CN5167800000000,51,678,Lexington city, VA,12/1/2020,2027,1874,153,7.5,0
CN5168000000000,51,680,Lynchburg city, VA,12/1/2020,34979,32571,2408,6.9,0
CN5168300000000,51,683,Manassas city, VA,12/1/2020,20966,19777,1189,5.7,0
CN5168500000000,51,685,Manassas Park city, VA,12/1/2020,9180,8622,558,6.1,0
CN5169000000000,51,690,Martinsville city, VA,12/1/2020,5685,5105,580,10.2,0
CN5170000000000,51,700,Newport News city, VA,12/1/2020,87105,80285,6820,7.8,0
CN5171000000000,51,710,Norfolk city, VA,12/1/2020,109109,100018,9091,8.3,0
CN5172000000000,51,720,Norton city, VA,12/1/2020,1614,1506,108,6.7,0
CN5173000000000,51,730,Petersburg city, VA,12/1/2020,13216,11279,1937,14.7,0
CN5173500000000,51,735,Poquoson city, VA,12/1/2020,6134,5904,230,3.7,0
CN5174000000000,51,740,Portsmouth city, VA,12/1/2020,43874,39617,4257,9.7,0
CN5175000000000,51,750,Radford city, VA,12/1/2020,8236,7760,476,5.8,0
CN5176000000000,51,760,Richmond city, VA,12/1/2020,115901,106540,9361,8.1,0
CN5177000000000,51,770,Roanoke city, VA,12/1/2020,47927,44606,3321,6.9,0
CN5177500000000,51,775,Salem city, VA,12/1/2020,12353,11726,627,5.1,0
CN5179000000000,51,790,Staunton city, VA,12/1/2020,12037,11399,638,5.3,0
CN5180000000000,51,800,Suffolk city, VA,12/1/2020,43676,40854,2822,6.5,0
CN5181000000000,51,810,Virginia Beach city, VA,12/1/2020,223694,211774,11920,5.3,0
CN5182000000000,51,820,Waynesboro city, VA,12/1/2020,10520,9918,602,5.7,0
CN5183000000000,51,830,Williamsburg city, VA,12/1/2020,6463,6029,434,6.7,0
CN5184000000000,51,840,Winchester city, VA,12/1/2020,14667,13963,704,4.8,0
CN5300100000000,53,1,Adams County, WA,12/1/2020,8871,8245,626,7.1,0
CN5300300000000,53,3,Asotin County, WA,12/1/2020,10308,9885,423,4.1,0
CN5300500000000,53,5,Benton County, WA,12/1/2020,99763,93239,6524,6.5,0
CN5300700000000,53,7,Chelan County, WA,12/1/2020,41795,38886,2909,7,0
CN5300900000000,53,9,Clallam County, WA,12/1/2020,29069,26847,2222,7.6,0
CN5301100000000,53,11,Clark County, WA,12/1/2020,232788,217441,15347,6.6,0
CN5301300000000,53,13,Columbia County, WA,12/1/2020,1662,1564,98,5.9,0
CN5301500000000,53,15,Cowlitz County, WA,12/1/2020,47003,43521,3482,7.4,0
CN5301700000000,53,17,Douglas County, WA,12/1/2020,20112,18654,1458,7.2,0
CN5301900000000,53,19,Ferry County, WA,12/1/2020,2450,2217,233,9.5,0
CN5302100000000,53,21,Franklin County, WA,12/1/2020,40547,37277,3270,8.1,0
CN5302300000000,53,23,Garfield County, WA,12/1/2020,797,741,56,7,0
CN5302500000000,53,25,Grant County, WA,12/1/2020,46489,42754,3735,8,0
CN5302700000000,53,27,Grays Harbor County, WA,12/1/2020,28850,26170,2680,9.3,0
CN5302900000000,53,29,Island County, WA,12/1/2020,35698,33378,2320,6.5,0
CN5303100000000,53,31,Jefferson County, WA,12/1/2020,12942,12028,914,7.1,0
CN5303300000000,53,33,King County, WA,12/1/2020,1283590,1209307,74283,5.8,0
CN5303500000000,53,35,Kitsap County, WA,12/1/2020,124890,117241,7649,6.1,0
CN5303700000000,53,37,Kittitas County, WA,12/1/2020,20876,19276,1600,7.7,0
CN5303900000000,53,39,Klickitat County, WA,12/1/2020,9496,8835,661,7,0
CN5304100000000,53,41,Lewis County, WA,12/1/2020,34188,31800,2388,7,0
CN5304300000000,53,43,Lincoln County, WA,12/1/2020,4511,4258,253,5.6,0
CN5304500000000,53,45,Mason County, WA,12/1/2020,25502,23519,1983,7.8,0
CN5304700000000,53,47,Okanogan County, WA,12/1/2020,19242,17823,1419,7.4,0
CN5304900000000,53,49,Pacific County, WA,12/1/2020,9010,8231,779,8.6,0
CN5305100000000,53,51,Pend Oreille County, WA,12/1/2020,4778,4356,422,8.8,0
CN5305300000000,53,53,Pierce County, WA,12/1/2020,430375,399332,31043,7.2,0
CN5305500000000,53,55,San Juan County, WA,12/1/2020,8567,8037,530,6.2,0
CN5305700000000,53,57,Skagit County, WA,12/1/2020,59838,55287,4551,7.6,0
CN5305900000000,53,59,Skamania County, WA,12/1/2020,5343,4918,425,8,0
CN5306100000000,53,61,Snohomish County, WA,12/1/2020,439210,409996,29214,6.7,0
CN5306300000000,53,63,Spokane County, WA,12/1/2020,246807,229937,16870,6.8,0
CN5306500000000,53,65,Stevens County, WA,12/1/2020,17875,16501,1374,7.7,0
CN5306700000000,53,67,Thurston County, WA,12/1/2020,140386,131694,8692,6.2,0
CN5306900000000,53,69,Wahkiakum County, WA,12/1/2020,1457,1356,101,6.9,0
CN5307100000000,53,71,Walla Walla County, WA,12/1/2020,29436,27604,1832,6.2,0
CN5307300000000,53,73,Whatcom County, WA,12/1/2020,110457,102611,7846,7.1,0
CN5307500000000,53,75,Whitman County, WA,12/1/2020,21028,19959,1069,5.1,0
CN5307700000000,53,77,Yakima County, WA,12/1/2020,124169,113813,10356,8.3,0
CN5400100000000,54,1,Barbour County, WV,12/1/2020,7510,6948,562,7.5,1
CN5400300000000,54,3,Berkeley County, WV,12/1/2020,59334,56358,2976,5,1
CN5400500000000,54,5,Boone County, WV,12/1/2020,7388,6726,662,9,1
CN5400700000000,54,7,Braxton County, WV,12/1/2020,5068,4571,497,9.8,1
CN5400900000000,54,9,Brooke County, WV,12/1/2020,9942,9110,832,8.4,1
CN5401100000000,54,11,Cabell County, WV,12/1/2020,42334,39496,2838,6.7,1
CN5401300000000,54,13,Calhoun County, WV,12/1/2020,2496,2084,412,16.5,1
CN5401500000000,54,15,Clay County, WV,12/1/2020,3107,2773,334,10.7,1
CN5401700000000,54,17,Doddridge County, WV,12/1/2020,3754,3528,226,6,1
CN5401900000000,54,19,Fayette County, WV,12/1/2020,16212,14783,1429,8.8,1
CN5402100000000,54,21,Gilmer County, WV,12/1/2020,2439,2188,251,10.3,1
CN5402300000000,54,23,Grant County, WV,12/1/2020,5965,5549,416,7,1
CN5402500000000,54,25,Greenbrier County, WV,12/1/2020,15735,14710,1025,6.5,1
CN5402700000000,54,27,Hampshire County, WV,12/1/2020,11041,10462,579,5.2,1
CN5402900000000,54,29,Hancock County, WV,12/1/2020,13057,11954,1103,8.4,1
CN5403100000000,54,31,Hardy County, WV,12/1/2020,5855,5433,422,7.2,1
CN5403300000000,54,33,Harrison County, WV,12/1/2020,33985,31661,2324,6.8,1
CN5403500000000,54,35,Jackson County, WV,12/1/2020,12526,11554,972,7.8,1
CN5403700000000,54,37,Jefferson County, WV,12/1/2020,30213,28744,1469,4.9,1
CN5403900000000,54,39,Kanawha County, WV,12/1/2020,81949,75905,6044,7.4,1
CN5404100000000,54,41,Lewis County, WV,12/1/2020,6180,5580,600,9.7,1
CN5404300000000,54,43,Lincoln County, WV,12/1/2020,7368,6716,652,8.8,1
CN5404500000000,54,45,Logan County, WV,12/1/2020,10880,9796,1084,10,1
CN5404700000000,54,47,McDowell County, WV,12/1/2020,4459,3897,562,12.6,1
CN5404900000000,54,49,Marion County, WV,12/1/2020,25385,23559,1826,7.2,1
CN5405100000000,54,51,Marshall County, WV,12/1/2020,13602,12451,1151,8.5,1
CN5405300000000,54,53,Mason County, WV,12/1/2020,10406,9645,761,7.3,1
CN5405500000000,54,55,Mercer County, WV,12/1/2020,20916,19164,1752,8.4,1
CN5405700000000,54,57,Mineral County, WV,12/1/2020,12388,11492,896,7.2,1
CN5405900000000,54,59,Mingo County, WV,12/1/2020,6655,5854,801,12,1
CN5406100000000,54,61,Monongalia County, WV,12/1/2020,55139,52232,2907,5.3,1
CN5406300000000,54,63,Monroe County, WV,12/1/2020,6091,5735,356,5.8,1
CN5406500000000,54,65,Morgan County, WV,12/1/2020,8479,8061,418,4.9,1
CN5406700000000,54,67,Nicholas County, WV,12/1/2020,9615,8826,789,8.2,1
CN5406900000000,54,69,Ohio County, WV,12/1/2020,20480,19010,1470,7.2,1
CN5407100000000,54,71,Pendleton County, WV,12/1/2020,3736,3571,165,4.4,1
CN5407300000000,54,73,Pleasants County, WV,12/1/2020,2697,2436,261,9.7,1
CN5407500000000,54,75,Pocahontas County, WV,12/1/2020,4109,3824,285,6.9,1
CN5407700000000,54,77,Preston County, WV,12/1/2020,15657,14646,1011,6.5,1
CN5407900000000,54,79,Putnam County, WV,12/1/2020,27231,25653,1578,5.8,1
CN5408100000000,54,81,Raleigh County, WV,12/1/2020,30346,28083,2263,7.5,1
CN5408300000000,54,83,Randolph County, WV,12/1/2020,12257,11272,985,8,1
CN5408500000000,54,85,Ritchie County, WV,12/1/2020,4332,3983,349,8.1,1
CN5408700000000,54,87,Roane County, WV,12/1/2020,5096,4491,605,11.9,1
CN5408900000000,54,89,Summers County, WV,12/1/2020,4277,3973,304,7.1,1
CN5409100000000,54,91,Taylor County, WV,12/1/2020,7852,7368,484,6.2,1
CN5409300000000,54,93,Tucker County, WV,12/1/2020,3260,3028,232,7.1,1
CN5409500000000,54,95,Tyler County, WV,12/1/2020,3213,2894,319,9.9,1
CN5409700000000,54,97,Upshur County, WV,12/1/2020,9334,8534,800,8.6,1
CN5409900000000,54,99,Wayne County, WV,12/1/2020,15994,14849,1145,7.2,1
CN5410100000000,54,101,Webster County, WV,12/1/2020,3329,3063,266,8,1
CN5410300000000,54,103,Wetzel County, WV,12/1/2020,6950,6301,649,9.3,1
CN5410500000000,54,105,Wirt County, WV,12/1/2020,2310,2055,255,11,1
CN5410700000000,54,107,Wood County, WV,12/1/2020,36315,33569,2746,7.6,1
CN5410900000000,54,109,Wyoming County, WV,12/1/2020,6320,5696,624,9.9,1
CN5500100000000,55,1,Adams County, WI,12/1/2020,7855,7272,583,7.4,0
CN5500300000000,55,3,Ashland County, WI,12/1/2020,7512,7048,464,6.2,0
CN5500500000000,55,5,Barron County, WI,12/1/2020,23921,22777,1144,4.8,0
CN5500700000000,55,7,Bayfield County, WI,12/1/2020,7264,6758,506,7,0
CN5500900000000,55,9,Brown County, WI,12/1/2020,139376,134457,4919,3.5,0
CN5501100000000,55,11,Buffalo County, WI,12/1/2020,6287,5990,297,4.7,0
CN5501300000000,55,13,Burnett County, WI,12/1/2020,7046,6590,456,6.5,0
CN5501500000000,55,15,Calumet County, WI,12/1/2020,27158,26386,772,2.8,0
CN5501700000000,55,17,Chippewa County, WI,12/1/2020,33649,32104,1545,4.6,0
CN5501900000000,55,19,Clark County, WI,12/1/2020,17687,17074,613,3.5,0
CN5502100000000,55,21,Columbia County, WI,12/1/2020,31147,29972,1175,3.8,0
CN5502300000000,55,23,Crawford County, WI,12/1/2020,7525,7158,367,4.9,0
CN5502500000000,55,25,Dane County, WI,12/1/2020,318968,309248,9720,3,0
CN5502700000000,55,27,Dodge County, WI,12/1/2020,46960,45376,1584,3.4,0
CN5502900000000,55,29,Door County, WI,12/1/2020,13968,13162,806,5.8,0
CN5503100000000,55,31,Douglas County, WI,12/1/2020,22026,20891,1135,5.2,0
CN5503300000000,55,33,Dunn County, WI,12/1/2020,24048,23103,945,3.9,0
CN5503500000000,55,35,Eau Claire County, WI,12/1/2020,59126,57067,2059,3.5,0
CN5503700000000,55,37,Florence County, WI,12/1/2020,2184,2059,125,5.7,0
CN5503900000000,55,39,Fond du Lac County, WI,12/1/2020,56617,54716,1901,3.4,0
CN5504100000000,55,41,Forest County, WI,12/1/2020,3727,3453,274,7.4,0
CN5504300000000,55,43,Grant County, WI,12/1/2020,27637,26821,816,3,0
CN5504500000000,55,45,Green County, WI,12/1/2020,20628,19981,647,3.1,0
CN5504700000000,55,47,Green Lake County, WI,12/1/2020,9077,8660,417,4.6,0
CN5504900000000,55,49,Iowa County, WI,12/1/2020,13446,12980,466,3.5,0
CN5505100000000,55,51,Iron County, WI,12/1/2020,2516,2320,196,7.8,0
CN5505300000000,55,53,Jackson County, WI,12/1/2020,9508,8922,586,6.2,0
CN5505500000000,55,55,Jefferson County, WI,12/1/2020,45346,43732,1614,3.6,0
CN5505700000000,55,57,Juneau County, WI,12/1/2020,13210,12562,648,4.9,0
CN5505900000000,55,59,Kenosha County, WI,12/1/2020,86743,82882,3861,4.5,0
CN5506100000000,55,61,Kewaunee County, WI,12/1/2020,10751,10424,327,3,0
CN5506300000000,55,63,La Crosse County, WI,12/1/2020,65534,63369,2165,3.3,0
CN5506500000000,55,65,Lafayette County, WI,12/1/2020,9887,9624,263,2.7,0
CN5506700000000,55,67,Langlade County, WI,12/1/2020,9266,8851,415,4.5,0
CN5506900000000,55,69,Lincoln County, WI,12/1/2020,14670,14068,602,4.1,0
CN5507100000000,55,71,Manitowoc County, WI,12/1/2020,40004,38499,1505,3.8,0
CN5507300000000,55,73,Marathon County, WI,12/1/2020,72186,69913,2273,3.1,0
CN5507500000000,55,75,Marinette County, WI,12/1/2020,19410,18473,937,4.8,0
CN5507700000000,55,77,Marquette County, WI,12/1/2020,7674,7286,388,5.1,0
CN5507800000000,55,78,Menominee County, WI,12/1/2020,1563,1429,134,8.6,0
CN5507900000000,55,79,Milwaukee County, WI,12/1/2020,453165,427911,25254,5.6,0
CN5508100000000,55,81,Monroe County, WI,12/1/2020,23140,22292,848,3.7,0
CN5508300000000,55,83,Oconto County, WI,12/1/2020,20222,19399,823,4.1,0
CN5508500000000,55,85,Oneida County, WI,12/1/2020,17436,16495,941,5.4,0
CN5508700000000,55,87,Outagamie County, WI,12/1/2020,102365,99021,3344,3.3,0
CN5508900000000,55,89,Ozaukee County, WI,12/1/2020,47329,45789,1540,3.3,0
CN5509100000000,55,91,Pepin County, WI,12/1/2020,4011,3848,163,4.1,0
CN5509300000000,55,93,Pierce County, WI,12/1/2020,23949,22977,972,4.1,0
CN5509500000000,55,95,Polk County, WI,12/1/2020,24200,22840,1360,5.6,0
CN5509700000000,55,97,Portage County, WI,12/1/2020,37613,36219,1394,3.7,0
CN5509900000000,55,99,Price County, WI,12/1/2020,6235,5956,279,4.5,0
CN5510100000000,55,101,Racine County, WI,12/1/2020,96354,91680,4674,4.9,0
